2024 Building Attendant Hours Dashboard,,,,,,,,,
Total Hours,Total Budget,Average Monthly Hours,Highest Month (by Hours),Lowest Month (by Hours),BA Average Hourly Rate,BA Average Monthly Rate,Clickable Sections,,
"5,520","$115,920.00",460,July - 685.75,January - 333,$21.00,"$1,680.00",Chart,Table,Summary
Charts,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2024 BA Month Hours Worked by Shift Type,,,,,,,Special Event Breakdown,,
Month,Hours Worked,Classes,Rental,Internal,Special Events,,Event Name,Hours,
January,333,181.25,119.75,9,23,,4th Of July,239.5,
February,392.25,203.25,100.5,0,88.5,,Stage Riser,152,
March,464.5,188,174,13.5,89,,Tree Lighting,111.5,
April,337.5,178,134.5,0,25,,Lunar New Year,92.5,
May,374,193,76.5,20,84.5,,Flag Raising,66.5,
June,600.5,284.5,218,0,98,,Movie Night,57,
July,685.75,221.75,146.5,0,317.5,,Lantern Festival,53.5,
August,513,236.5,128.5,9.5,138.5,,Family Game Night,43,
September,378,209.5,161,7.5,0,,Haunted House Assistance,41,
October,571.5,253.5,133,0,185,,Pumpkins in the Park,40,
November,491.5,201,215.5,5,70,,Family Campout,34,
December,378.5,166.5,96.5,0,115.5,,MCT Assistance,32.5,
Grand Total,5520,2516.75,1704.25,64.5,1234.5,,Holi Festival,29,
,,,,,,,Big Bunny Scramble,26,
Shift Type Breakdown (Excluding Special Events),,,,,,,Summer Concert,25,
,Adobe,Sal Cracolice,Community Center,Senior Center,Sports Center,,Dia De Los Muertos,24,
Classes,23.5,123,433.25,1933,4,,Milpitas Fiesta,20,
Rental,242,138.5,653.5,637.25,4,,Tech Booth,16.5,
Internal,7.5,,53,4,,,Memorial Day,14.5,
,,,,,,,Earth Day,13.5,
,,,,,,,Skate Park Mural,12,
,,,,,,,State of The City,11,
,,,,,,,Veterans Day,10,
,,,,,,,Veterans Luncheon,10,
,,,,,,,Independence Day Pool Party,9,
,,,,,,,MSRC Flapjack Feast,9,
,,,,,,,Special Event Help,8,
,,,,,,,Willy Wonka Strike (MCC),8,
,,,,,,,Volunteer Appreciation Picnic,6,
,,,,,,,Commisionner's Recognition,5.5,
,,,,,,,Bike To Wherever,4,
,,,,,,,Winter Wonderland Ball,4,
,,,,,,,Hero's Event,3.5,
,,,,,,,Veterans Day Rehearsal,3,
,,,,,,,AVG,36.3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-,,,,,,,,,